experiment,valid_seen_mape,valid_unseen_mape,combined_mape,test1_mape,test2_mape
E07_validated_blend,0.0787398792262894,0.1573943698667557,0.1180671245465226,0.0976386526798514,0.6192484684557628
E05_norm_plus_daily_calibration,0.0755759284437861,0.1628965499387667,0.1192362391912764,0.1000129585507984,0.6538828059675467
E14_weighted_calibration,0.075384519560002,0.1725730365441888,0.1239787780520954,0.0979431244787899,0.7697088145091376
E06_seen_new_branch,0.0755759284437861,0.2959583421336827,0.1857671352887344,0.1000129585507984,0.4484348359920764
E08_history_dynamic_fallback,0.0787398792262894,0.2959583421336827,0.187349110679986,0.0976386526798514,0.4484348359920764
E11_piecewise_low_output_guard,0.0787398792262894,0.2977100092995393,0.1882249442629143,0.0976386526798514,0.3556796631411275
E10_precision_low_output_guard,0.0787398792262894,0.2991057924565849,0.1889228358414371,0.0976386526798514,0.3671236886339961
E09_low_output_guard,0.0787398792262894,0.3130702517536097,0.1959050654899496,0.0976386526798514,0.4390678699095541
ML_XGBoost,0.169978917539469,0.2730010041648696,0.2214899608521693,0.1730987719164569,2.094416046305907
E13_fair_raw_point,0.1668055895112014,0.2804004790680909,0.2236030342896461,0.1889656731924219,2.1104238768114576
E15_adaptive_low_output_guard,0.0787398792262894,0.3698141478100515,0.2242770135181705,0.0976386526798514,0.475191222057026
E12_huber_raw_point,0.1719083188370538,0.2778862957308073,0.2248973072839306,0.1905971269750908,2.100155167956382
E01_lgbm_raw_point,0.1719083188370538,0.2778862957308073,0.2248973072839306,0.1905971269750908,2.100155167956382
ML_CatBoost,0.18189216110233,0.2732885917582275,0.2275903764302788,0.2062169868154683,2.151792938425685
ML_RF,0.1841116269030472,0.2850977864813973,0.2346047066922222,0.2077801083094166,2.161179991024845
E02_lgbm_daily_rescaled,0.2980120495343836,0.2959583421336827,0.2969851958340331,0.3140577467015761,0.4484348359920764
E03_lgbm_norm_target,0.3913176277625785,0.3679114810029621,0.3796145543827703,0.5420174981038981,1.966953916609981
E00_irradiance_baseline,0.3248038927823108,0.592298724417168,0.4585513085997394,0.24834103985774,1.839598870957249
DL_DNN,0.6295,0.6354,0.6324,0.6332,1.2524
DL_CNN,0.631,0.6364,0.6337,0.634,1.253
DL_LSTM,0.6558,0.6166,0.6362,0.6332,1.2524
ML_SVR,0.75,0.88,0.8179,0.75,1.5
