candidate,metric,mean,std,min,max
pred_validated_blend,combined_validation_daily_mape,0.14666077191762797,0.06826955667976564,0.09415910527470678,0.22383717464227165
pred_norm_calibrated,combined_validation_daily_mape,0.15082277285255488,0.07108818631593694,0.09725772714333385,0.23147197968080685
pred_low_output_guard,combined_validation_daily_mape,0.1587522150085539,0.038304261685987204,0.11899092754994163,0.19541071551498712
pred_daily_model_rescaled,combined_validation_daily_mape,0.16361890947571425,0.058444629456300565,0.10981454978629392,0.22579987715522518
pred_history_fallback,combined_validation_daily_mape,0.16619221666076125,0.054157552849016286,0.11638115424088355,0.22384196989606325
pred_piecewise_low_output_guard,combined_validation_daily_mape,0.1662352603722366,0.053747017834324326,0.11653295091488551,0.22327340396345502
pred_precision_low_output_guard,combined_validation_daily_mape,0.16649328748876488,0.053544012578467075,0.11704136466308585,0.22335710476716197
pred_seen_new_branch,combined_validation_daily_mape,0.1699419684783018,0.05261552392452431,0.12250226981089485,0.22653277156469415
pred_raw_point,combined_validation_daily_mape,0.4050374968138204,0.12253493560968848,0.32866234504441794,0.5463751458396545
pred_irradiance_baseline,combined_validation_daily_mape,0.4993059398962581,0.150207524686242,0.3878178586315655,0.6701156412372015
pred_norm_point,combined_validation_daily_mape,0.5141320257168704,0.12336389395880852,0.4124270974967412,0.6513600130640416
pred_validated_blend,valid_unseen_daily_mape,0.2105014084513518,0.1452509898214485,0.10048297059740079,0.3751455102543662
pred_norm_calibrated,valid_unseen_daily_mape,0.21132590668612447,0.15340403734422722,0.09443798319463236,0.38503351699417476
pred_low_output_guard,valid_unseen_daily_mape,0.23468429463320364,0.08407684102185416,0.1501466151478705,0.31829259199979715
pred_daily_model_rescaled,valid_unseen_daily_mape,0.24956429793761833,0.1165355134092892,0.14492706852975434,0.3751551007619494
pred_history_fallback,valid_unseen_daily_mape,0.24956429793761833,0.1165355134092892,0.14492706852975434,0.3751551007619494
pred_seen_new_branch,valid_unseen_daily_mape,0.24956429793761833,0.1165355134092892,0.14492706852975434,0.3751551007619494
pred_piecewise_low_output_guard,valid_unseen_daily_mape,0.24965038536056905,0.11569073343954461,0.14523066187775827,0.37401796889673294
pred_precision_low_output_guard,valid_unseen_daily_mape,0.25016643959362556,0.11529061683997834,0.14624748937415893,0.3741853705041468
pred_raw_point,valid_unseen_daily_mape,0.4756113903231362,0.2559316221502416,0.3238590164989641,0.7710995258980866
pred_norm_point,valid_unseen_daily_mape,0.6027151085349903,0.29995667647008306,0.3777130972109741,0.9432612389729702
pred_irradiance_baseline,valid_unseen_daily_mape,0.6835017101990828,0.336620892277511,0.43578765732317526,1.0667656296132098
